A2;A3;N3;CAPTION
RU;RUS;643;РОССИЯ
AB;ABH;895;Республика Абхазия
AU;AUS;36;АВСТРАЛИЯ
AT;AUT;40;АВСТРИЯ
AZ;AZE;31;АЗЕРБАЙДЖАН
AL;ALB;8;АЛБАНИЯ
DZ;DZA;12;АЛЖИР
AS;ASM;16;АМЕРИКАНСКОЕ САМОА
AI;AIA;660;АНГИЛЬЯ
AO;AGO;24;АНГОЛА
AD;AND;20;АНДОРРА
AQ;ATA;10;АНТАРКТИДА
AG;ATG;28;АНТИГУА И БАРБУДА
AR;ARG;32;АРГЕНТИНА
AM;ARM;51;АРМЕНИЯ
AW;ABW;533;АРУБА
AF;AFG;4;АФГАНИСТАН
BS;BHS;44;БАГАМЫ
BD;BGD;50;БАНГЛАДЕШ
BB;BRB;52;БАРБАДОС
BH;BHR;48;БАХРЕЙН
BY;BLR;112;БЕЛАРУСЬ
BZ;BLZ;84;БЕЛИЗ
BE;BEL;56;БЕЛЬГИЯ
BJ;BEN;204;БЕНИН
BM;BMU;60;БЕРМУДЫ
BG;BGR;100;БОЛГАРИЯ
BO;BOL;68;БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО
BA;BIH;70;БОСНИЯ И ГЕРЦЕГОВИНА
BW;BWA;72;БОТСВАНА
BR;BRA;76;БРАЗИЛИЯ
IO;IOT;86;БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ
BN;BRN;96;БРУНЕЙ-ДАРУССАЛАМ
BF;BFA;854;БУРКИНА-ФАСО
BI;BDI;108;БУРУНДИ
BT;BTN;64;БУТАН
VU;VUT;548;ВАНУАТУ
HU;HUN;348;ВЕНГРИЯ
VE;VEN;862;ВЕНЕСУЭЛА БОЛИВАРИАНСКАЯ РЕСПУБЛИКА
VG;VGB;92;ВИРГИНСКИЕ ОСТРОВА, БРИТАНСКИЕ
VI;VIR;850;ВИРГИНСКИЕ ОСТРОВА, США
VN;VNM;704;ВЬЕТНАМ
GA;GAB;266;ГАБОН
HT;HTI;332;ГАИТИ
GY;GUY;328;ГАЙАНА
GM;GMB;270;ГАМБИЯ
GH;GHA;288;ГАНА
GP;GLP;312;ГВАДЕЛУПА
GT;GTM;320;ГВАТЕМАЛА
GN;GIN;324;ГВИНЕЯ
GW;GNB;624;ГВИНЕЯ-БИСАУ
