id|nameRu|nameEn|title
3|10^12 кл/л|X 10 12 /L|10^12 килолитра
4|г/л|g/L|грамм на литр
5|%|%|относительное содержание
6|фл|fl|фемтолитр
7|пг|pg/cell|пикограмм
8|мм/час|mm/h|миллиметр в час
11|г/дл|g/dL|грамм на децилитр
12|мкМ/л|µmol/L|микромоль на литр
13|л/л|l/l|литр/литр
14|10^3/мкл|10^3/µl|10^3 микролитров
9|10^3/мм^3|X 10^3/mm3|10^3 мегаклеток на микролитр
10|10^6/мм^3|X 10^6/mm3|10^6 мегаклеток на микролитр
2|10^9 /л|X 10^9 /L|10^9 килолитра
15|мкм^3|µm^3|микрометр в кубе
17|наличие|presence|отсутствуют/присутствуют
16|+/-|+/-|удовлетворительный/не удовлетворительный результат
18|шт|pc|штука
19|pH|pH|реакция
20|SG|SG|удельный вес
21|мкмоль||
22|мг/л||миллиграмм на литр
24|цил/мкл||
25|кл/л||клеток на литр
26|кл||клеток
23|мг/дл|mg/dL|миллиграмм на децилитр
27|ммоль/л|mmol/L|миллимоль/литр
28|Ед/л|U/L|единица на литр
29|ммкат/л|µkat/L|микро-катал
30|mEq/л|mEq/L|миллиэквивалент на литр
31|МЕ|IU|международная единица на миллилитр
32|копии/мл|Kop/ml|200 копий ДНК соответствуют 90 МЕ/мл
33|г|g|грамм
34|мм|mm|миллиметр
35|уд/мин|S/min|ударов в минуту
36|см|sm|сантиметры
37|ед|unit|Единицы
38|мв|mv|милливольт
39|сек|sec|секунды
43|ед/мл|ed/ml|единиц на миллилитр
44|мкг FEU/мл|FEU/мл|FEU/мл
