code|name|parentCode
A00-B99|Некоторые инфекционные и паразитарные болезни|
A00-A09|Кишечные инфекции|A00-B99
A00|Холера|A00-A09
A00.0|Холера, вызванная холерным вибрионом 01, биовар cholerae|A00
A00.1|Холера, вызванная холерным вибрионом 01, биовар eltor|A00
A00.9|Холера неуточненная|A00
A01|Тиф и паратиф|A00-A09
A01.0|Брюшной тиф|A01
A01.1|Паратиф A|A01
A01.2|Паратиф B|A01
A01.3|Паратиф C|A01
A01.4|Паратиф неуточненный|A01
A02|Другие сальмонеллезные инфекции|A00-A09
A02.0|Сальмонеллезный энтерит|A02
A02.1|Сальмонеллезная септицемия|A02
A02.2+|Локализованная сальмонеллезная инфекция|A02
A02.8|Другая уточненная сальмонеллезная инфекция|A02
A02.9|Сальмонеллезная инфекция неуточненная|A02
A03|Шигеллез|A00-A09
A03.0|Шигеллез, вызванный Shigella dysenteriae|A03
A03.02|Шигеллез, вызванный Shigella boydii|A03
A03.1|Шигеллез, вызванный Shigella flexneri|A03
A03.3|Шигеллез, вызванный Shigella sonnei|A03
A03.8|Другой шигеллез|A03
A03.9|Шигеллез неуточненный|A03
A04|Другие бактериальные кишечные инфекции|A00-A09
A04.0|Энтеропатогенная инфекция, вызванная Escherichia coli|A04
A04.1|Энтеротоксигенная инфекция, вызванная Escherichia coli|A04
A04.2|Энтероинвазивная инфекция, вызванная Escherichia coli|A04
A04.3|Энтерогеморрагическая инфекция, вызванная Escherichia coli|A04
A04.4|Другие кишечные инфекции, вызванные Escherichia coli|A04
A04.5|Энтерит, вызванный Campylobacter|A04
A04.6|Энтерит, вызванный Yersinia enterocolitica|A04
A04.7|Энтероколит, вызванный Clostridium difficile|A04
A04.8|Другие уточненные бактериальные кишечные инфекции|A04
A04.9|Бактериальная кишечная инфекция неуточненная|A04
A05|Другие бактериальные пищевые отравления|A00-A09
A05.0|Стафилококковое пищевое отравление|A05
A05.1|Ботулизм|A05
A05.2|Пищевое отравление, вызванное Clostridium perfringens|A05
