code;oktmo_region_id;OKTMO_ID;Name;FederalDistrictID;FederalDistrictName
22;69;1;Алтайский край;7;Сибирский федеральный округ
28;81;10;Амурская область;8;Дальневосточный федеральный округ
29;22;11;Архангельская область;2;Северо-Западный федеральный округ
30;34;12;Астраханская область;3;Южный федеральный округ
31;1;14;Белгородская область;1;Центральный федеральный округ
;19;9;Белгородская область;1;Центральный федеральный округ
32;2;15;Брянская область;1;Центральный федеральный округ
33;3;17;Владимирская область;1;Центральный федеральный округ
34;35;18;Волгоградская область;3;Южный федеральный округ
35;23;19;Вологодская область;2;Северо-Западный федеральный округ
36;4;20;Воронежская область;1;Центральный федеральный округ
77;18;45;город Москва;1;Центральный федеральный округ
78;29;40;город Санкт-Петербург;2;Северо-Западный федеральный округ
92;87;67;город Севастополь;3;Южный федеральный округ
79;84;99;Еврейская автономная область;8;Дальневосточный федеральный округ
75;70;76;Забайкальский край;7;Сибирский федеральный округ
37;5;24;Ивановская область;1;Центральный федеральный округ
38;72;25;Иркутская область;7;Сибирский федеральный округ
7;40;83;Кабардино-Балкарская Республика;4;Северо–Кавказский федеральный округ
39;24;27;Калининградская область;2;Северо-Западный федеральный округ
40;6;29;Калужская область;1;Центральный федеральный округ
41;78;30;Камчатский край;8;Дальневосточный федеральный округ
9;41;91;Карачаево-Черкесская Республика;4;Северо–Кавказский федеральный округ
42;73;32;Кемеровская область;7;Сибирский федеральный округ
43;52;33;Кировская область;5;Приволжский федеральный округ
44;7;34;Костромская область;1;Центральный федеральный округ
23;33;3;Краснодарский край;3;Южный федеральный округ
24;71;4;Красноярский край;7;Сибирский федеральный округ
45;59;37;Курганская область;6;Уральский федеральный округ
46;8;38;Курская область;1;Центральный федеральный округ
47;25;41;Ленинградская область;2;Северо-Западный федеральный округ
48;9;42;Липецкая область;1;Центральный федеральный округ
49;82;44;Магаданская область;8;Дальневосточный федеральный округ
50;10;46;Московская область;1;Центральный федеральный округ
51;26;47;Мурманская область;2;Северо-Западный федеральный округ
83;30;11;Ненецкий автономный округ;2;Северо-Западный федеральный округ
52;53;22;Нижегородская область;5;Приволжский федеральный округ
53;27;49;Новгородская область;2;Северо-Западный федеральный округ
54;74;50;Новосибирская область;7;Сибирский федеральный округ
55;75;52;Омская область;7;Сибирский федеральный округ
56;54;53;Оренбургская область;5;Приволжский федеральный округ
57;11;54;Орловская область;1;Центральный федеральный округ
58;55;56;Пензенская область;5;Приволжский федеральный округ
59;51;57;Пермский край;5;Приволжский федеральный округ
25;79;5;Приморский край;8;Дальневосточный федеральный округ
60;28;58;Псковская область;2;Северо-Западный федеральный округ
1;31;79;Республика Адыгея;3;Южный федеральный округ
4;65;84;Республика Алтай;7;Сибирский федеральный округ
2;45;80;Республика Башкортостан;5;Приволжский федеральный округ
3;66;81;Республика Бурятия;7;Сибирский федеральный округ
5;38;82;Республика Дагестан;4;Северо–Кавказский федеральный округ
6;39;26;Республика Ингушетии;4;Северо–Кавказский федеральный округ
8;32;85;Республика Калмыкия;3;Южный федеральный округ
10;20;86;Республика Карелия;2;Северо-Западный федеральный округ
11;21;87;Республика Коми;2;Северо-Западный федеральный округ
91;86;35;Республика Крым;3;Южный федеральный округ
12;46;88;Республика Марий Эл;5;Приволжский федеральный округ
13;47;89;Республика Мордовии;5;Приволжский федеральный округ
14;77;98;Республика Саха (Якутия);8;Дальневосточный федеральный округ
15;42;90;Республика Северная Осетия-Алания;4;Северо–Кавказский федеральный округ
16;48;92;Республика Татарстан;5;Приволжский федеральный округ
17;67;93;Республика Тыва;7;Сибирский федеральный округ
19;68;95;Республика Хакасия;7;Сибирский федеральный округ
61;36;60;Ростовская область;3;Южный федеральный округ
62;12;61;Рязанская область;1;Центральный федеральный округ
63;56;36;Самарская область;5;Приволжский федеральный округ
64;57;63;Саратовская область;5;Приволжский федеральный округ
65;83;64;Сахалинская область;8;Дальневосточный федеральный округ
66;60;65;Свердловская область;6;Уральский федеральный округ
67;13;66;Смоленская область;1;Центральный федеральный округ
26;44;7;Ставропольский край;4;Северо–Кавказский федеральный округ
68;14;68;Тамбовская область;1;Центральный федеральный округ
69;15;28;Тверская область;1;Центральный федеральный округ
70;76;69;Томская область;7;Сибирский федеральный округ
71;16;70;Тульская область;1;Центральный федеральный округ
72;61;71;Тюменская область;6;Уральский федеральный округ
18;49;94;Удмуртская Республики;5;Приволжский федеральный округ
73;58;73;Ульяновская область;5;Приволжский федеральный округ
27;80;8;Хабаровский край;8;Дальневосточный федеральный округ
86;63;71;Ханты-Мансийский автономный округ - Югра;6;Уральский федеральный округ
74;62;75;Челябинская область;6;Уральский федеральный округ
20;43;96;Чеченская Республика;4;Северо–Кавказский федеральный округ
21;50;97;Чувашская Республики;5;Приволжский федеральный округ
87;85;77;Чукотский автономный округ;8;Дальневосточный федеральный округ
89;64;71;Ямало-Ненецкий автономный округ;6;Уральский федеральный округ
76;17;78;Ярославская область;1;Центральный федеральный округ
